Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
STD3uL0.001rep1_7242019_04.qgd,535244,7778004,5065931,1396820,0,372957,1114326,1902498,1998815
STD3uL0.001rep2_7242019_05.qgd,413644,4261043,4203114,1565301,0,293832,1789507,2048156,1150702
STD3uL0.01_07232019.qgd,1213358,19569892,16769150,4389995,0,132283,4017116,4644686,4071874
STD3uL0.01rep2_7242019_06.qgd,2952757,23978308,15269711,7742415,0,461858,4629455,8064817,6742962
STD3uL0.01rep1_7242019_01.qgd,1797453,23855020,17361746,10084104,189117,282572,5568371,9959758,6571587
ALK3uL0.01_7252019_15.qgd,385807,7811922,7568849,5836978,0,2124464,4619272,4743043,2335087
Blank2_7252019_16.qgd,0,297914,1690323,930735,0,72349,1072357,1041112,104072
STD3uL0.0001rep1_7252019_02.qgd,77861,211445,384115,120546,0,387150,136733,0,338219
STD3uL0.0001rep2_7252019_03.qgd,91531,212316,630202,0,0,0,0,0,0
STD3uL0.0001rep3_7252019_04.qgd,0,0,0,0,0,0,0,0,0
STD3uL0.001rep1_7252019_05.qgd,351027,2598233,4111205,1839918,0,0,559535,1390395,1773284
STD3uL0.001rep2_7252019_06.qgd,909064,0,7656881,4411449,0,7716479,0,0,0
STD3uL0.001rep3_7252019_07.qgd,612121,0,2934403,1473280,0,3761919,0,0,0
STD3uL0.01rep1_7252019_08.qgd,3287723,9434843,11364064,15033551,0,0,0,5730448,4322804
STD3uL0.01rep2_7252019_09.qgd,3311923,8053472,8952944,11509461,0,0,0,7078897,4411324
STD3uL0.01rep3_7252019_10.qgd,3398882,6301905,8402331,16616288,0,793111,0,5390948,2648290
STD3uL0.1indolerep1_7252019_13.qgd,10191466,115202632,86483382,78946481,0,1691588,34078312,45786136,38677972
STD3uL0.1indolerep2_7252019_14.qgd,12929974,175764406,118677884,54963790,1151656,1802905,40729218,50581277,61611970
STD3uL0.1rep1_7252019_11.qgd,13272491,57252388,70179017,71675200,889044,555190,0,56104706,35275896
STD3uL0.1rep2_7252019_12.qgd,12910495,99048698,54967583,68451562,0,0,0,1309048,35462976
STD3uL0.0001rep1_20210624_1.qgd,78505,0,0,0,0,215542,47456,0,0
STD3uL0.0001rep2_20210628_3.qgd,64098,148985,0,1900675,0,351480,389867,0,190060
STD3uL0.0001rep3_20210628_4.qgd,27244,59165,118117,120983,0,149397,73121,0,0
STD3uL0.001rep1_20210624_2.qgd,215972,429111,0,549344,0,526982,343602,0,408694
STD3uL0.001rep2_20210628_5.qgd,262005,617585,234516,540670,0,240073,539107,0,342334
STD3uL0.001rep3_20210628_6.qgd,887844,4415085,0,3283370,958008,441698,3205206,0,2435724
STD3uL0.01rep1_20210624_3.qgd,1260464,3172786,197764,4582337,1439659,359237,3525397,0,1997542
STD3uL0.01rep2_20210628_7.qgd,0,0,0,49114,0,522903,0,0,0
STD3uL0.01rep3_20210628_8.qgd,1607727,5240620,0,5324121,1069669,329936,4084179,0,3225644
STD3uL0.1rep1_20210624_4.qgd,11119656,37651375,0,54955545,14066796,430100,43268348,0,27671633
STD3uL0.1rep2_20210628_9.qgd,10147993,30143736,242879,37689253,10946794,442583,25370113,0,22375178
